iter	Passed	Remaining
243	17553	54386
244	17567	54136
245	17581	53889
246	17595	53641
247	17608	53394
248	17623	53152
249	17636	52910
250	17650	52670
251	17664	52433
252	17678	52196
253	17692	51962
254	17706	51732
255	17720	51500
256	17734	51271
257	17748	51044
258	17761	50817
259	17776	50593
260	17789	50369
261	17801	50143
262	17817	49929
263	17831	49710
264	17844	49494
265	17859	49281
266	17874	49072
267	17889	48862
268	17903	48652
269	17918	48447
270	17935	48246
271	17951	48047
272	17969	47853
273	17987	47659
274	18002	47460
275	18017	47263
276	18035	47074
277	18053	46886
278	18068	46693
279	18085	46504
280	18101	46316
281	18117	46129
282	18135	45946
283	18151	45761
284	18168	45580
285	18183	45394
286	18197	45208
287	18215	45031
288	18231	44854
289	18247	44675
290	18263	44497
291	18277	44315
292	18291	44137
293	18305	43958
294	18327	43798
295	18342	43626
296	18358	43453
297	18373	43282
298	18388	43112
299	18402	42939
300	18415	42765
301	18429	42595
302	18442	42424
303	18456	42256
304	18472	42092
305	18487	41929
306	18502	41766
307	18516	41601
308	18530	41438
309	18544	41276
310	18557	41112
311	18570	40949
312	18582	40787
313	18596	40627
314	18609	40468
315	18622	40309
316	18636	40152
317	18649	39996
318	18662	39841
319	18675	39685
320	18688	39530
321	18702	39379
322	18716	39229
323	18730	39080
324	18744	38931
325	18758	38782
326	18771	38633
327	18785	38487
328	18799	38340
329	18811	38193
330	18828	38054
331	18841	37910
332	18855	37768
333	18870	37628
334	18886	37490
335	18900	37350
336	18914	37210
337	18926	37069
338	18940	36930
339	18953	36792
340	18967	36655
341	18981	36520
342	18995	36385
343	19009	36249
344	19023	36116
345	19036	35982
346	19049	35848
347	19062	35715
348	19076	35583
349	19090	35453
350	19104	35324
351	19117	35194
352	19131	35065
353	19145	34937
354	19160	34812
355	19173	34683
356	19186	34557
357	19199	34430
358	19213	34306
359	19228	34184
360	19244	34064
361	19259	33943
362	19273	33821
363	19288	33701
364	19301	33579
365	19315	33458
366	19328	33338
367	19345	33223
368	19357	33101
369	19370	32982
370	19384	32864
371	19396	32745
372	19409	32627
373	19422	32509
374	19435	32392
375	19448	32275
376	19460	32159
377	19473	32044
378	19488	31931
379	19504	31822
380	19518	31710
381	19531	31597
382	19543	31484
383	19556	31371
384	19569	31260
385	19583	31150
386	19596	31040
387	19609	30930
388	19623	30822
389	19636	30713
390	19651	30608
391	19666	30502
392	19680	30397
393	19695	30292
394	19708	30186
395	19721	30080
396	19736	29977
397	19749	29872
398	19763	29768
399	19776	29664
400	19789	29560
401	19801	29455
402	19815	29353
403	19828	29252
404	19843	29152
405	19857	29053
406	19870	28951
407	19883	28850
408	19897	28751
409	19910	28651
410	19924	28553
411	19938	28455
412	19950	28355
413	19963	28257
414	19977	28161
415	19990	28064
416	20005	27968
417	20020	27875
418	20033	27778
419	20046	27683
420	20059	27587
421	20072	27493
422	20086	27399
423	20099	27304
424	20113	27212
425	20127	27120
426	20141	27028
427	20155	26936
428	20168	26844
429	20182	26753
430	20195	26662
431	20208	26570
432	20221	26479
433	20235	26389
434	20247	26298
435	20260	26208
436	20274	26120
437	20287	26031
438	20301	25943
439	20314	25854
440	20327	25766
441	20340	25679
442	20356	25595
443	20370	25509
444	20384	25422
445	20397	25337
446	20410	25251
447	20425	25166
448	20440	25083
449	20456	25002
450	20471	24919
451	20485	24836
452	20499	24753
453	20514	24671
454	20527	24588
455	20541	24505
456	20554	24423
457	20568	24340
458	20584	24262
459	20599	24182
460	20613	24101
461	20627	24020
462	20640	23939
463	20653	23858
464	20666	23778
465	20680	23698
466	20693	23617
467	20706	23538
468	20719	23458
469	20732	23379
470	20745	23300
471	20769	23233
472	20788	23161
473	20803	23086
474	20816	23008
475	20829	22930
476	20842	22852
477	20855	22775
478	20872	22702
479	20886	22627
480	20902	22553
481	20918	22480
482	20932	22405
483	20945	22330
484	20958	22254
485	20971	22179
486	20986	22107
487	21000	22033
488	21016	21961
489	21031	21889
490	21045	21817
491	21058	21743
492	21071	21669
493	21085	21597
494	21098	21524
495	21112	21452
496	21124	21379
497	21137	21307
498	21152	21237
499	21166	21166
500	21179	21095
501	21193	21024
502	21206	20953
503	21220	20883
504	21235	20814
505	21249	20745
506	21265	20678
507	21280	20610
508	21295	20542
509	21307	20472
510	21320	20402
511	21333	20333
512	21347	20265
513	21360	20197
514	21374	20129
515	21388	20061
516	21400	19993
517	21413	19925
518	21427	19858
519	21441	19791
520	21454	19725
521	21468	19658
522	21482	19592
523	21496	19527
524	21509	19461
525	21523	19396
526	21538	19331
527	21554	19268
528	21568	19204
529	21582	19139
530	21596	19075
531	21610	19010
532	21625	18947
533	21639	18883
534	21652	18819
535	21665	18755
536	21678	18690
537	21691	18627
538	21704	18563
539	21717	18500
540	21729	18436
541	21743	18373
542	21755	18310
543	21769	18247
544	21782	18185
545	21796	18123
546	21810	18062
547	21824	18001
548	21837	17939
549	21850	17878
550	21863	17816
551	21877	17755
552	21892	17696
553	21906	17635
554	21918	17574
555	21932	17514
556	21946	17454
557	21958	17393
558	21972	17334
559	21985	17274
560	22000	17215
561	22013	17156
562	22026	17096
563	22040	17038
564	22055	16980
565	22068	16921
566	22081	16862
567	22094	16804
568	22106	16745
569	22120	16687
570	22133	16629
571	22146	16571
572	22159	16513
573	22172	16455
574	22184	16397
575	22198	16340
576	22211	16283
577	22224	16226
578	22237	16169
579	22250	16112
580	22263	16055
581	22277	15999
582	22289	15943
583	22302	15886
584	22317	15831
585	22330	15775
586	22342	15719
587	22355	15664
588	22369	15609
589	22383	15554
590	22398	15501
591	22412	15446
592	22425	15391
593	22441	15338
594	22455	15284
595	22469	15230
596	22482	15176
597	22496	15122
598	22509	15069
599	22523	15015
600	22536	14961
601	22551	14909
602	22564	14856
603	22578	14803
604	22592	14750
605	22605	14697
606	22618	14644
607	22632	14591
608	22646	14539
609	22659	14486
610	22673	14435
611	22686	14383
612	22700	14331
613	22714	14279
614	22728	14228
615	22741	14176
616	22753	14124
617	22767	14073
618	22781	14021
619	22795	13971
620	22809	13920
621	22824	13870
622	22837	13819
623	22851	13769
624	22864	13718
625	22877	13668
626	22890	13617
627	22905	13567
628	22918	13517
629	22931	13467
630	22945	13417
631	22957	13367
632	22970	13317
633	22982	13267
634	22995	13217
635	23008	13168
636	23021	13119
637	23034	13069
638	23048	13021
639	23061	12972
640	23075	12923
641	23089	12875
642	23103	12827
643	23115	12778
644	23128	12729
645	23141	12681
646	23155	12633
647	23168	12585
648	23181	12537
649	23194	12489
650	23207	12441
651	23221	12394
652	23234	12346
653	23247	12299
654	23260	12251
655	23273	12204
656	23287	12157
657	23299	12110
658	23313	12063
659	23326	12016
660	23340	11970
661	23354	11924
662	23367	11877
663	23381	11831
664	23394	11784
665	23406	11738
666	23421	11693
667	23435	11647
668	23448	11601
669	23461	11555
670	23474	11509
671	23488	11464
672	23502	11419
673	23514	11373
674	23528	11328
675	23540	11282
676	23555	11238
677	23569	11193
678	23583	11149
679	23596	11104
680	23610	11059
681	23623	11014
682	23636	10970
683	23649	10925
684	23663	10881
685	23676	10837
686	23689	10793
687	23704	10749
688	23718	10706
689	23732	10662
690	23747	10619
691	23761	10575
692	23775	10532
693	23788	10488
694	23801	10445
695	23816	10402
696	23830	10359
697	23844	10316
698	23857	10273
699	23869	10229
700	23883	10187
701	23898	10144
702	23911	10102
703	23926	10060
704	23941	10017
705	23954	9975
706	23968	9933
707	23981	9890
708	23996	9849
709	24010	9806
710	24023	9764
711	24037	9722
712	24050	9680
713	24064	9639
714	24077	9597
715	24092	9556
716	24106	9514
717	24119	9473
718	24132	9431
719	24145	9389
720	24157	9348
721	24170	9306
722	24183	9265
723	24196	9224
724	24209	9182
725	24222	9141
726	24234	9100
727	24248	9059
728	24261	9018
729	24274	8978
730	24287	8937
731	24300	8896
732	24313	8856
733	24327	8816
734	24341	8776
735	24354	8735
736	24367	8695
737	24380	8655
738	24394	8615
739	24407	8575
740	24421	8535
741	24435	8496
742	24448	8456
743	24461	8417
744	24475	8377
745	24488	8338
746	24501	8298
747	24514	8258
748	24527	8219
749	24541	8180
750	24553	8140
751	24567	8102
752	24581	8063
753	24594	8024
754	24608	7985
755	24622	7947
756	24635	7908
757	24649	7869
758	24661	7830
759	24674	7791
760	24687	7753
761	24700	7714
762	24713	7676
763	24727	7638
764	24740	7600
765	24753	7561
766	24766	7523
767	24779	7485
768	24792	7447
769	24805	7409
770	24818	7371
771	24831	7333
772	24844	7295
773	24857	7258
774	24871	7220
775	24884	7183
776	24898	7145
777	24911	7108
778	24924	7071
779	24937	7033
780	24952	6997
781	24967	6960
782	24979	6922
783	24994	6886
784	25006	6848
785	25020	6812
786	25033	6775
787	25047	6738
788	25061	6702
789	25075	6665
790	25090	6629
791	25103	6592
792	25119	6556
793	25134	6520
794	25147	6484
795	25160	6448
796	25173	6411
797	25186	6375
798	25200	6339
799	25214	6303
800	25227	6267
801	25240	6231
802	25253	6195
803	25268	6159
804	25281	6124
805	25294	6088
806	25307	6052
807	25319	6016
808	25332	5980
809	25346	5945
810	25359	5910
811	25373	5874
812	25386	5839
813	25399	5803
814	25413	5768
815	25426	5733
816	25439	5698
817	25452	5663
818	25467	5628
819	25480	5593
820	25493	5558
821	25507	5523
822	25520	5488
823	25533	5453
824	25546	5419
825	25560	5384
826	25574	5349
827	25588	5315
828	25602	5281
829	25615	5246
830	25629	5212
831	25645	5178
832	25658	5144
833	25671	5109
834	25684	5075
835	25697	5041
836	25711	5007
837	25724	4973
838	25737	4938
839	25751	4905
840	25763	4870
841	25776	4836
842	25790	4803
843	25803	4769
844	25816	4735
845	25829	4701
846	25842	4668
847	25856	4634
848	25870	4601
849	25885	4567
850	25898	4534
851	25911	4501
852	25924	4467
853	25937	4434
854	25950	4400
855	25963	4367
856	25978	4334
857	25990	4301
858	26006	4268
859	26020	4235
860	26033	4202
861	26046	4169
862	26058	4136
863	26073	4104
864	26086	4071
865	26099	4038
866	26113	4005
867	26126	3973
868	26140	3940
869	26154	3908
870	26167	3875
871	26180	3843
872	26193	3810
873	26205	3777
874	26218	3745
875	26232	3713
876	26246	3681
877	26260	3648
878	26273	3616
879	26286	3584
880	26301	3552
881	26315	3520
882	26328	3488
883	26341	3456
884	26357	3424
885	26370	3393
886	26383	3361
887	26397	3329
888	26411	3297
889	26424	3265
890	26437	3234
891	26451	3202
892	26465	3171
893	26480	3139
894	26494	3108
895	26507	3076
896	26522	3045
897	26535	3014
898	26549	2982
899	26562	2951
900	26575	2920
901	26590	2888
902	26603	2857
903	26616	2826
904	26631	2795
905	26644	2764
906	26659	2733
907	26673	2702
908	26686	2671
909	26699	2640
910	26713	2609
911	26726	2578
912	26739	2548
913	26752	2517
914	26765	2486
915	26779	2455
916	26792	2425
917	26804	2394
918	26818	2363
919	26831	2333
920	26845	2302
921	26858	2272
922	26871	2241
923	26884	2211
924	26897	2180
925	26911	2150
926	26924	2120
927	26937	2090
928	26950	2059
929	26964	2029
930	26977	1999
931	26992	1969
932	27006	1939
933	27018	1909
934	27031	1879
935	27044	1849
936	27058	1819
937	27072	1789
938	27085	1759
939	27099	1729
940	27112	1699
941	27126	1670
942	27139	1640
943	27152	1610
944	27166	1581
945	27189	1552
946	27207	1522
947	27223	1493
948	27236	1463
949	27249	1434
950	27262	1404
951	27274	1375
952	27289	1345
953	27302	1316
954	27314	1287
955	27327	1257
956	27341	1228
957	27355	1199
958	27367	1170
959	27381	1140
960	27394	1111
961	27407	1082
962	27421	1053
963	27434	1024
964	27448	995
965	27461	966
966	27474	937
967	27488	908
968	27506	879
969	27519	851
970	27533	822
971	27547	793
972	27561	764
973	27575	736
974	27588	707
975	27602	678
976	27616	650
977	27630	621
978	27644	592
979	27658	564
980	27670	535
981	27683	507
982	27699	479
983	27712	450
984	27724	422
985	27737	393
986	27751	365
987	27764	337
988	27777	308
989	27790	280
990	27803	252
991	27816	224
992	27829	196
993	27842	168
994	27854	139
995	27868	111
996	27880	83
997	27893	55
998	27907	27
999	27920	0
