iter	Logloss
0	0.6407251292
1	0.6065529198
2	0.5776736322
3	0.5477448422
4	0.5280764401
5	0.5116520878
6	0.4971221423
7	0.4854882584
8	0.4748824957
9	0.4661439566
10	0.4571055881
11	0.4503759096
12	0.4437985625
13	0.4340693843
14	0.4298981349
15	0.4255292189
16	0.4213690033
17	0.4179722858
18	0.4137325958
19	0.4105246927
20	0.4080176671
21	0.403098169
22	0.3991197965
23	0.3956873358
24	0.3926093555
25	0.390734221
26	0.3891554649
27	0.3874917581
28	0.384864246
29	0.3803098845
30	0.3789730057
31	0.3759637856
32	0.373166247
33	0.3688534108
34	0.3678149317
35	0.3670503667
36	0.3661526367
37	0.3643466748
38	0.3609362886
39	0.3588845815
40	0.3558739296
41	0.3531364098
42	0.3519818527
43	0.3499519747
44	0.3493143064
45	0.3477240265
46	0.3443955564
47	0.3417171326
48	0.3377807351
49	0.3374110874
50	0.3360124411
51	0.3344179056
52	0.3317095682
53	0.3303941725
54	0.3300567234
55	0.3280338602
56	0.3269295453
57	0.3262703528
58	0.3246010918
59	0.3236068096
60	0.322564695
61	0.3222404338
62	0.3217567628
63	0.320886136
64	0.3196492648
65	0.3191899145
66	0.3189191563
67	0.3170801412
68	0.3166685962
69	0.3157665565
70	0.3151753843
71	0.3143926424
72	0.3140647229
73	0.313856858
74	0.3123658375
75	0.3107181697
76	0.309143749
77	0.3085931586
78	0.3077883635
79	0.3057347501
80	0.3041426154
81	0.3028385583
82	0.3020178469
83	0.3017300855
84	0.2999857159
85	0.2988977847
86	0.2980154242
87	0.2977790911
88	0.2973206636
89	0.2966325314
90	0.2950352689
91	0.2941997275
92	0.2939629459
93	0.2932976827
94	0.2927202786
95	0.2925543073
96	0.2922638786
97	0.2918017833
98	0.2904462601
99	0.2894291058
100	0.2892198083
101	0.2889977252
102	0.2885023331
103	0.2881492559
104	0.2877659794
105	0.2875399286
106	0.2872633634
107	0.2863215651
108	0.2858654481
109	0.2856392578
110	0.2852148156
111	0.2851026946
